Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
#EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,qua;qua;sex,14-16;18-19;8-12,Sexta: 08:00-12:00 Quarta: 14:00-16:00 Quarta: 18:00-19:00,
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,ter,14-16,,new
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,qua,14-16,,
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,qua,16-18,,new
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,qua,18-19,,
EDO202915-MATEMÁT.,Prática de Ensino e Estágio Supervisionado III,105.0,EDO,4,1,L,1421L - 4/1 - Obrigatória - Integral 1415L - 4/1 - Obrigatória - Integral 1419L - 4/1 - Obrigatória - Integral ,1421L - / 1415L - / 1419L - / ,Diana Carolina Pineda Pérez,sex,8-12,,old
MAT005915-MATEMÁT.,Resolução de Problemas na Educação Básica - optativa,60.0,DM,4,1,L,1421B - 9/ - Optativa - Integral 1421L - 9/ - Optativa - Integral 1419L - Equivalente 1419B - Equivalente 1415L - Equivalente ,1421B - / 1421L - / 1419L - / 1419B - / 1415L - / ,Roger Miarka,qui,16-18,Sexta: 16:00-18:00 Quinta: 16:00-18:00,
MAT005915-MATEMÁT.,Resolução de Problemas na Educação Básica - optativa,60.0,DM,4,1,L,1421B - 9/ - Optativa - Integral 1421L - 9/ - Optativa - Integral 1419L - Equivalente 1419B - Equivalente 1415L - Equivalente ,1421B - / 1421L - / 1419L - / 1419B - / 1415L - / ,Roger Miarka,sex,16-18,Sexta: 16:00-18:00 Quinta: 16:00-18:00,
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,4,1,L,1415B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral ,1415B - / 1421B - / 1415L - / 1419C - / 1421L - / ,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,seg,10-12,Quinta: 14:00-16:00 Segunda: 10:00-12:00,
MAT002215-MATEMÁT.,Teoria dos Números,60.0,DM,4,1,L,1415B - Equivalente 1421B - 3/1 - Obrigatória - Integral 1415L - Equivalente 1419C - Equivalente 1421L - 4/1 - Obrigatória - Integral ,1415B - / 1421B - / 1415L - / 1419C - / 1421L - / ,Thais Fernanda Mendes Monis  Gabriel de Almeida Prado Modolo,qui,14-16,Quinta: 14:00-16:00 Segunda: 10:00-12:00,
